phase,phase_label,epsilon,orig_acc,adv_acc,adv_f1,adv_rec,success_rate
pre_AT_h5,h5 before AT,0.01,0.7568,0.8094,0.353,0.2961,-0.0526
pre_AT_h5,h5 before AT,0.05,0.7568,0.736,0.0149,0.0114,0.0208
pre_AT_h5,h5 before AT,0.1,0.7568,0.7078,0.0068,0.0057,0.049
pre_AT_h5,h5 before AT,0.15,0.7568,0.6736,0.0049,0.0046,0.0832
pre_AT_h5,h5 before AT,0.2,0.7568,0.6272,0.0,0.0,0.1296
pre_AT_h5,h5 before AT,0.3,0.7568,0.5176,0.0,0.0,0.2392
post_AT_h5,h5 after AT,0.01,0.9184,0.9132,0.7118,0.6105,0.0052
post_AT_h5,h5 after AT,0.05,0.9184,0.91,0.702,0.6036,0.0084
post_AT_h5,h5 after AT,0.1,0.9184,0.9058,0.6911,0.6002,0.0126
post_AT_h5,h5 after AT,0.15,0.9184,0.896,0.6623,0.5809,0.0224
post_AT_h5,h5 after AT,0.2,0.9184,0.8822,0.627,0.5638,0.0362
post_AT_h5,h5 after AT,0.3,0.9184,0.8232,0.492,0.4875,0.0952
float_tflite,float TFLite (transfer),0.01,0.7568,0.8198,0.3833,0.3189,-0.063
float_tflite,float TFLite (transfer),0.05,0.7568,0.8186,0.3599,0.2904,-0.0618
float_tflite,float TFLite (transfer),0.1,0.7568,0.8086,0.2937,0.2267,-0.0518
float_tflite,float TFLite (transfer),0.15,0.7568,0.8,0.2308,0.1708,-0.0432
float_tflite,float TFLite (transfer),0.2,0.7568,0.794,0.1734,0.123,-0.0372
float_tflite,float TFLite (transfer),0.3,0.7568,0.7856,0.117,0.0809,-0.0288
ptq_tflite,PTQ TFLite (transfer),0.01,0.7532,0.7952,0.3228,0.2779,-0.042
ptq_tflite,PTQ TFLite (transfer),0.05,0.7532,0.816,0.341,0.2711,-0.0628
ptq_tflite,PTQ TFLite (transfer),0.1,0.7532,0.8078,0.2725,0.205,-0.0546
ptq_tflite,PTQ TFLite (transfer),0.15,0.7532,0.806,0.2265,0.1617,-0.0528
ptq_tflite,PTQ TFLite (transfer),0.2,0.7532,0.7814,0.1701,0.1276,-0.0282
ptq_tflite,PTQ TFLite (transfer),0.3,0.7532,0.7806,0.1287,0.0923,-0.0274
