tag,fl_qat,distillation,pruning,ptq,fl_acc,fl_f1,fl_prec,fl_rec,fl_size_kb,dist_acc,dist_f1,prune_acc,prune_f1,final_acc,final_f1,final_prec,final_rec,tflite_size_kb,final_size_kb,pgd_orig_acc,pgd_adv_acc,pgd_success_rate,tflite_found
no_qat__distill_direct__prune_10x5__ptq_yes,False,direct,prune_10x5,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.969370425417426,0.91680431191863,0.9619730791003963,0.8748386926865239,0.9495528186129876,0.8279822927963877,0.9879545528534688,0.7125967149213953,34.9296875,374.3828125,0.234,0.1756,0.0584,True
no_qat__distill_direct__prune_10x5__ptq_no,False,direct,prune_10x5,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.969370425417426,0.91680431191863,0.9821787565336891,0.949038720047592,0.9821787565336891,0.949038720047592,,,102.30859375,374.3828125,0.9178,0.8244,0.0934,True
no_qat__distill_direct__prune_10x2__ptq_yes,False,direct,prune_10x2,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.969370425417426,0.91680431191863,0.9820747376022436,0.9491923275368399,0.9523033192040952,0.8515299069726896,0.9065561816373882,0.8028013572376222,54.8125,585.328125,0.2474,0.1756,0.0718,True
no_qat__distill_direct__prune_10x2__ptq_no,False,direct,prune_10x2,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.969370425417426,0.91680431191863,0.980016362978062,0.9436185703159392,0.980016362978062,0.9436185703159392,,,170.91796875,585.328125,0.8424,0.2106,0.6318,True
no_qat__distill_direct__prune_5x10__ptq_yes,False,direct,prune_5x10,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.969370425417426,0.91680431191863,0.9838390587086849,0.9539435054014764,0.9670119961833054,0.9023698590398608,0.910090757105326,0.8947788618458902,34.6640625,371.703125,0.2666,0.1756,0.091,True
no_qat__distill_direct__prune_5x10__ptq_no,False,direct,prune_5x10,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.969370425417426,0.91680431191863,0.984947260401393,0.9547692178230319,0.984947260401393,0.9547692178230319,,,101.30859375,371.703125,0.3108,0.1756,0.1352,True
no_qat__distill_direct__prune_none__ptq_yes,False,direct,prune_none,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.969370425417426,0.91680431191863,,,0.9432456707120696,0.8566187246687353,0.751989707643849,0.9950688598499524,74.9765625,297.140625,0.9436,0.2472,0.6964,True
no_qat__distill_direct__prune_none__ptq_no,False,direct,prune_none,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.969370425417426,0.91680431191863,,,0.969370425417426,0.91680431191863,,,242.43359375,297.140625,0.9628,0.471,0.4918,True
no_qat__distill_progressive__prune_10x5__ptq_yes,False,progressive,prune_10x5,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.970378608906821,0.9190341841086543,0.9799823567889356,0.9435535274109758,0.9299772558605667,0.7420545734560487,0.996378675743064,0.5911615183215339,15.3515625,176.90625,0.2382,0.1756,0.0626,True
no_qat__distill_progressive__prune_10x5__ptq_no,False,progressive,prune_10x5,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.970378608906821,0.9190341841086543,0.976839784840841,0.9348796922280842,0.976839784840841,0.9348796922280842,,,37.890625,176.90625,0.2508,0.1756,0.0752,True
no_qat__distill_progressive__prune_10x2__ptq_yes,False,progressive,prune_10x2,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.970378608906821,0.9190341841086543,0.9810005420986619,0.9463868411248715,0.9566501103200783,0.8659014263172551,0.9154150094201382,0.8214692449485166,22.3359375,246.9140625,0.2236,0.1756,0.048,True
no_qat__distill_progressive__prune_10x2__ptq_no,False,progressive,prune_10x2,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.970378608906821,0.9190341841086543,0.9817606804438408,0.9482231888337441,0.9817606804438408,0.9482231888337441,,,60.12890625,246.9140625,0.2288,0.1756,0.0532,True
no_qat__distill_progressive__prune_5x10__ptq_yes,False,progressive,prune_5x10,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.970378608906821,0.9190341841086543,0.9822207641790806,0.949720543977553,0.9622691329822027,0.8759552276105171,0.99570905285191,0.7819144564592065,15.0625,174.3203125,0.2084,0.1756,0.0328,True
no_qat__distill_progressive__prune_5x10__ptq_no,False,progressive,prune_5x10,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.970378608906821,0.9190341841086543,0.9787021237865291,0.9375509557689261,0.9787021237865291,0.9375509557689261,,,36.9609375,174.3203125,0.2152,0.1756,0.0396,True
no_qat__distill_progressive__prune_none__ptq_yes,False,progressive,prune_none,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.970378608906821,0.9190341841086543,,,0.9557239417573998,0.8837438941120856,0.7995666099584667,0.9877308536742865,29.09375,133.890625,0.9478,0.287,0.6608,True
no_qat__distill_progressive__prune_none__ptq_no,False,progressive,prune_none,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.970378608906821,0.9190341841086543,,,0.970378608906821,0.9190341841086543,,,82.44921875,133.890625,0.965,0.3474,0.6176,True
no_qat__distill_none__prune_10x5__ptq_yes,False,none,prune_10x5,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,,,0.978294049517012,0.9343402254615426,0.6428870054349892,0.48743891724902244,0.32261092636579575,0.9966421283740152,95.0546875,1022.078125,0.468,0.178,0.29,True
no_qat__distill_none__prune_10x5__ptq_no,False,none,prune_10x5,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,,,0.975747586060663,0.9300686393262964,0.975747586060663,0.9300686393262964,,,314.73828125,1022.078125,0.8688,0.8122,0.0566,True
no_qat__distill_none__prune_10x2__ptq_yes,False,none,prune_10x2,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,,,0.9768037782876483,0.9308197112516406,0.822923772126527,0.657213001758041,0.49032466819592185,0.9963251265072265,159.140625,1734.01171875,0.414,0.1766,0.2374,True
no_qat__distill_none__prune_10x2__ptq_no,False,none,prune_10x2,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,,,0.9823847940325139,0.9469351845156313,0.9823847940325139,0.9469351845156313,,,549.86328125,1734.01171875,0.5692,0.185,0.3842,True
no_qat__distill_none__prune_5x10__ptq_yes,False,none,prune_5x10,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,,,0.9177130237703262,0.682249343426541,0.8004696854827579,0.6303544627471326,0.4605408508057529,0.9985441395747479,95.875,1029.34375,0.4312,0.1762,0.255,True
no_qat__distill_none__prune_5x10__ptq_no,False,none,prune_5x10,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,,,0.9852753201082597,0.9555787555292713,0.9852753201082597,0.9555787555292713,,,317.72265625,1029.34375,0.6688,0.1586,0.5102,True
no_qat__distill_none__prune_none__ptq_yes,False,none,prune_none,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,,,,,0.9461241946034178,0.8606435656371755,0.7693951560678669,0.9764479353785824,226.8125,864.109375,0.6514,0.2004,0.451,True
no_qat__distill_none__prune_none__ptq_no,False,none,prune_none,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,,,,,0.9631612953557548,0.9010881591526753,,,802.44921875,864.109375,0.9146,0.2322,0.6824,True
yes_qat__distill_direct__prune_5x10__ptq_no,True,direct,prune_5x10,False,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.8468538605954048,0.3289316901983188,0.9768081175313645,0.9372783687943262,0.9768081175313645,0.9372783687943262,,,101.328125,371.765625,0.9426,0.916,0.0266,True
yes_qat__distill_direct__prune_10x2__ptq_no,True,direct,prune_10x2,False,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.8468687606162648,0.3282952892926586,0.9649477009267813,0.9085519922254617,0.9649477009267813,0.9085519922254617,,,170.9375,585.8671875,0.9438,0.916,0.0278,True
yes_qat__distill_direct__prune_5x10__ptq_yes,True,direct,prune_5x10,True,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.846473910063474,0.3262990993347173,0.976003516404923,0.9355606682004601,0.9461513246118545,0.8430026716479506,0.8651389848643588,0.8219709003113286,31.1171875,371.765625,0.9538,0.9152,0.0386,True
yes_qat__distill_direct__prune_10x5__ptq_no,True,direct,prune_10x5,False,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.8464105849748189,0.3229556650246306,0.9437263462168847,0.8171043232968923,0.9437263462168847,0.8171043232968923,,,102.34765625,374.3515625,0.9428,0.916,0.0268,True
yes_qat__distill_direct__prune_10x2__ptq_yes,True,direct,prune_10x2,True,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.8461461096045535,0.3202383107585458,0.9912611377655929,0.9755584264044007,0.9381425633995888,0.7896483583299554,0.9824124562675324,0.6601224135374971,50.09375,585.8671875,0.9542,0.9152,0.039,True
yes_qat__distill_direct__prune_10x5__ptq_yes,True,direct,prune_10x5,True,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.8467719104806747,0.32782652744415575,0.9768379175730846,0.9338440259602085,0.9082382215335102,0.647218880678238,0.9993808323382425,0.4785776309380096,31.40625,374.3515625,0.9538,0.9152,0.0386,True
yes_qat__distill_direct__prune_none__ptq_no,True,direct,prune_none,False,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.8472263611169055,0.3299733707993661,,,0.8472263611169055,0.3299733707993661,,,242.453125,283.1015625,0.9498,0.9162,0.0336,True
