tag,tflite_path,fl_qat,distillation,pruning,ptq,fl_acc,fl_f1,fl_prec,fl_rec,fl_size_kb,dist_acc,dist_f1,prune_acc,prune_f1,final_acc,final_f1,final_prec,final_rec,tflite_size_kb,final_size_kb,at_enabled,at_attack,pgd_adv_acc,pgd_success_rate,ratio_sweep_f1_50_50
no_qat__distill_none__prune_none__ptq_no,models/tflite/no_qat_distill_none_prune_none_ptq_no.tflite,False,none,prune_none,False,0.923154701718908,0.8061224489795918,0.7707317073170732,0.8449197860962567,850.7578125,,,0.923154701718908,0.8061224489795918,0.8877654196157735,0.7602591792656587,0.6376811594202898,0.9411764705882353,802.3047,802.3047,True,pgd,0.1814,0.30365,
no_qat__distill_none__prune_none__ptq_yes,models/tflite/no_qat_distill_none_prune_none_ptq_yes.tflite,False,none,prune_none,True,0.923154701718908,0.8061224489795918,0.7707317073170732,0.8449197860962567,850.7578125,,,0.923154701718908,0.8061224489795918,0.8887765419615774,0.7488584474885844,0.6533864541832669,0.8770053475935828,226.7031,226.7031,True,pgd,0.1846,0.29375,
no_qat__distill_none__prune_10x5__ptq_no,models/tflite/no_qat_distill_none_prune_10x5_ptq_no.tflite,False,none,prune_10x5,False,0.923154701718908,0.8061224489795918,0.7707317073170732,0.8449197860962567,850.7578125,,,0.9191102123356926,0.8230088495575221,0.27603640040444893,0.34311926605504584,0.2070874861572536,1.0,662.6992,662.6992,True,pgd,0.1784,0.10575,
no_qat__distill_none__prune_10x5__ptq_yes,models/tflite/no_qat_distill_none_prune_10x5_ptq_yes.tflite,False,none,prune_10x5,True,0.923154701718908,0.8061224489795918,0.7707317073170732,0.8449197860962567,850.7578125,,,0.9352881698685541,0.8532110091743119,0.3114256825075834,0.35450236966824644,0.2154377880184332,1.0,189.4219,189.4219,True,pgd,0.17855,0.14805,
no_qat__distill_none__prune_10x2__ptq_no,models/tflite/no_qat_distill_none_prune_10x2_ptq_no.tflite,False,none,prune_10x2,False,0.923154701718908,0.8061224489795918,0.7707317073170732,0.8449197860962567,850.7578125,,,0.9494438827098078,0.8803827751196172,0.27401415571284127,0.34249084249084244,0.20662983425414364,1.0,770.25,770.25,True,pgd,0.1784,0.10965,
no_qat__distill_none__prune_10x2__ptq_yes,models/tflite/no_qat_distill_none_prune_10x2_ptq_yes.tflite,False,none,prune_10x2,True,0.923154701718908,0.8061224489795918,0.7707317073170732,0.8449197860962567,850.7578125,,,0.9413549039433772,0.8644859813084113,0.28412537917087965,0.34565619223659894,0.20893854748603352,1.0,218.1875,218.1875,True,pgd,0.17845,0.1171,
no_qat__distill_none__prune_5x10__ptq_no,models/tflite/no_qat_distill_none_prune_5x10_ptq_no.tflite,False,none,prune_5x10,False,0.923154701718908,0.8061224489795918,0.7707317073170732,0.8449197860962567,850.7578125,,,0.9443882709807887,0.8705882352941177,0.26289180990899896,0.3390752493200363,0.20414847161572053,1.0,730.4141,730.4141,True,pgd,0.1784,0.1041,
no_qat__distill_none__prune_5x10__ptq_yes,models/tflite/no_qat_distill_none_prune_5x10_ptq_yes.tflite,False,none,prune_5x10,True,0.923154701718908,0.8061224489795918,0.7707317073170732,0.8449197860962567,850.7578125,,,0.9504550050556118,0.882494004796163,0.30030333670374115,0.350844277673546,0.21274175199089876,1.0,207.5391,207.5391,True,pgd,0.1785,0.14105,
no_qat__distill_direct__prune_none__ptq_no,models/tflite/no_qat_distill_direct_prune_none_ptq_no.tflite,False,direct,prune_none,False,0.923154701718908,0.8061224489795918,0.7707317073170732,0.8449197860962567,850.7578125,0.4570273003033367,0.40924092409240925,0.4570273003033367,0.40924092409240925,0.4064711830131446,0.3891779396462019,0.24160206718346253,1.0,242.3672,242.3672,True,pgd,0.2569,0.64125,
no_qat__distill_direct__prune_none__ptq_yes,models/tflite/no_qat_distill_direct_prune_none_ptq_yes.tflite,False,direct,prune_none,True,0.923154701718908,0.8061224489795918,0.7707317073170732,0.8449197860962567,850.7578125,0.4570273003033367,0.40924092409240925,0.4570273003033367,0.40924092409240925,0.3862487360970677,0.381243628950051,0.23551637279596976,1.0,74.9219,74.9219,True,pgd,0.19225,0.7243,
