slug,num_rounds,batch_size,local_epochs,learning_rate,focal_loss_alpha,accuracy,f1,normal_recall,stage
r60_b64_e1_lr3e-4_a0.5,60,64,1,0.0003,0.5,0.8269,0.6607,0.8004,QAT+PTQ
r60_b64_e1_lr3e-4_a0.65,60,64,1,0.0003,0.65,0.464,0.3978,0.3489,QAT+PTQ
r60_b64_e1_lr3e-4_a0.8,60,64,1,0.0003,0.8,0.8323,0.5949,0.8622,QAT+PTQ
r60_b64_e1_lr5e-4_a0.5,60,64,1,0.0005,0.5,0.748,0.584,0.6943,QAT+PTQ
r60_b64_e1_lr5e-4_a0.65,60,64,1,0.0005,0.65,0.876,0.7373,0.8534,QAT+PTQ
r60_b64_e1_lr5e-4_a0.8,60,64,1,0.0005,0.8,0.8659,0.7251,0.8378,QAT+PTQ
r60_b64_e1_lr1e-3_a0.5,60,64,1,0.001,0.5,0.8327,0.6786,0.7977,QAT+PTQ
r60_b64_e1_lr1e-3_a0.65,60,64,1,0.001,0.65,0.8115,0.6504,0.7734,QAT+PTQ
r60_b64_e1_lr1e-3_a0.8,60,64,1,0.001,0.8,0.6266,0.4869,0.5465,QAT+PTQ
r60_b64_e2_lr3e-4_a0.5,60,64,2,0.0003,0.5,0.7833,0.6205,0.737,QAT+PTQ
r60_b64_e2_lr3e-4_a0.65,60,64,2,0.0003,0.65,0.8913,0.7327,0.9025,QAT+PTQ
r60_b64_e2_lr3e-4_a0.8,60,64,2,0.0003,0.8,0.6461,0.5004,0.57,QAT+PTQ
r60_b64_e2_lr5e-4_a0.5,60,64,2,0.0005,0.5,0.8336,0.6803,0.7983,QAT+PTQ
r60_b64_e2_lr5e-4_a0.65,60,64,2,0.0005,0.65,0.935,0.8128,0.9653,QAT+PTQ
r60_b64_e2_lr5e-4_a0.8,60,64,2,0.0005,0.8,0.9269,0.8261,0.9156,QAT+PTQ
r60_b64_e2_lr1e-3_a0.5,60,64,2,0.001,0.5,0.9515,0.8706,0.9585,QAT+PTQ
r60_b64_e2_lr1e-3_a0.65,60,64,2,0.001,0.65,0.8161,0.6571,0.778,QAT+PTQ
r60_b64_e2_lr1e-3_a0.8,60,64,2,0.001,0.8,0.3976,0.3704,0.268,QAT+PTQ
r60_b128_e1_lr3e-4_a0.5,60,128,1,0.0003,0.5,0.1776,0.3016,0.0001,QAT+PTQ
r60_b128_e1_lr3e-4_a0.65,60,128,1,0.0003,0.65,0.8321,0.6585,0.815,QAT+PTQ
r60_b128_e1_lr3e-4_a0.8,60,128,1,0.0003,0.8,0.8131,0.6431,0.7839,QAT+PTQ
r60_b128_e1_lr5e-4_a0.5,60,128,1,0.0005,0.5,0.5487,0.4402,0.4514,QAT+PTQ
r60_b128_e1_lr5e-4_a0.65,60,128,1,0.0005,0.65,0.3634,0.3577,0.2263,QAT+PTQ
