round,accuracy,accuracy_pct,loss,precision,precision_pct,recall,recall_pct,f1_score,f1_pct,client_0_accuracy,client_0_accuracy_pct,client_1_accuracy,client_1_accuracy_pct,client_2_accuracy,client_2_accuracy_pct,client_3_accuracy,client_3_accuracy_pct,total_samples,actual_attack,actual_normal,predicted_attack,predicted_normal,true_positives,true_negatives,false_positives,false_negatives
1,0.8975239545106888,89.75,1.2380621135234833,0.998785047810153,99.88,0.4178668248051508,41.79,0.5892182047639869,58.92,0.8974118232727051,89.74,0.8978603482246399,89.79,0.8974118232727051,89.74,0.8974118232727051,89.74,67113,11804,55309,4931,62182,4925,55303,6,6879
2,0.906367227435112,90.64,1.1288365721702576,0.9954664673306711,99.55,0.4697771941714673,46.98,0.6383191657914689,63.83,0.9062029719352722,90.62,0.9062029719352722,90.62,0.9062029719352722,90.62,0.9068599939346313,90.69,67113,11804,55309,5561,61552,5535,55283,26,6269
3,0.9052459746599197,90.52,1.1247334480285645,0.9703695462982631,97.04,0.4757921043713995,47.58,0.6385097017687906,63.85,0.9051152467727661,90.51,0.9051152467727661,90.51,0.9056381583213806,90.56,0.9051152467727661,90.51,67113,11804,55309,5790,61323,5613,55132,177,6191
4,0.9228393733501434,92.28,0.8924350440502167,0.9542188888480242,95.42,0.5895882751609625,58.96,0.7288396831519603,72.88,0.9226826429367065,92.27,0.9226826429367065,92.27,0.9233095645904541,92.33,0.9226826429367065,92.27,67113,11804,55309,7311,59802,6963,54961,348,4841
5,0.9194942712783813,91.95,0.8160296678543091,0.8554340319625188,85.54,0.6525542189088445,65.26,0.7403466896783533,74.03,0.9193151593208313,91.93,0.9200316071510315,92.00,0.9193151593208313,91.93,0.9193151593208313,91.93,67113,11804,55309,9007,58106,7698,54000,1309,4106
6,0.9105616360902786,91.06,0.8520532101392746,0.8022589884718081,80.23,0.6522577092511013,65.23,0.71952321780464,71.95,0.9103303551673889,91.03,0.9112554788589478,91.13,0.9103303551673889,91.03,0.9103303551673889,91.03,67113,11804,55309,9606,57507,7696,53399,1910,4108
7,0.9057265222072601,90.57,0.8951691836118698,0.7874627630962924,78.75,0.6355260928498814,63.55,0.7033828929753865,70.34,0.9055324792861938,90.55,0.9055324792861938,90.55,0.9055324792861938,90.55,0.906308650970459,90.63,67113,11804,55309,9532,57581,7498,53275,2034,4306
8,0.9036591202020645,90.37,0.918470710515976,0.7834796147568842,78.35,0.6249576414774654,62.50,0.6952966472494777,69.53,0.9043418765068054,90.43,0.9034315347671509,90.34,0.9034315347671509,90.34,0.9034315347671509,90.34,67114,11804,55310,9376,57738,7380,53314,1996,4424
9,0.9039347916841507,90.39,0.9209639877080917,0.7868400595691081,78.68,0.6224373093866485,62.24,0.6950475156703189,69.50,0.9045504927635193,90.46,0.9037295579910278,90.37,0.9037295579910278,90.37,0.9037295579910278,90.37,67114,11804,55310,9286,57828,7342,53366,1944,4462
10,0.8973972946405411,89.74,1.0230833292007446,0.7887456917644735,78.87,0.5690655709928838,56.91,0.6611302664846583,66.11,0.8972777128219604,89.73,0.8972777128219604,89.73,0.897756040096283,89.78,0.8972777128219604,89.73,67113,11804,55309,8542,58571,6726,53493,1816,5078
