model,tag,attack,clean_f1,clean_acc,adv_f1,adv_acc,delta_f1_pct,delta_acc_pct,time_s,time_pct
most_compressed,no_qat__distill_progressive__prune_5x10__ptq_yes,fgsm,0.9441277080957812,0.9804,0.5662042875157629,0.8624,-40.028845392352174,-12.035903712770295,0.10357020003721118,100.0
most_compressed,no_qat__distill_progressive__prune_5x10__ptq_yes,fgi,0.9441277080957812,0.9804,0.5662042875157629,0.8624,-40.028845392352174,-12.035903712770295,0.09746250009629875,94.10284045148313
most_compressed,no_qat__distill_progressive__prune_5x10__ptq_yes,ga,0.9441277080957812,0.9804,0.5662042875157629,0.8624,-40.028845392352174,-12.035903712770295,0.10417259996756911,100.58163441814489
most_compressed,no_qat__distill_progressive__prune_5x10__ptq_yes,pgd,0.9441277080957812,0.9804,0.5852130325814536,0.8676,-38.01547952005618,-11.505507955936354,0.4351922000059858,420.1905565979673
most_accurate,no_qat__distill_progressive__prune_10x5__ptq_no,fgsm,0.9753639417693168,0.9912,0.6336522228474958,0.8698,-35.03427841529118,-12.247780468119448,0.050491100060753524,100.0
most_accurate,no_qat__distill_progressive__prune_10x5__ptq_no,fgi,0.9753639417693168,0.9912,0.6336522228474958,0.8698,-35.03427841529118,-12.247780468119448,0.08999450004193932,178.23834286369924
most_accurate,no_qat__distill_progressive__prune_10x5__ptq_no,ga,0.9753639417693168,0.9912,0.6336522228474958,0.8698,-35.03427841529118,-12.247780468119448,0.09367639990523458,185.5305188290971
most_accurate,no_qat__distill_progressive__prune_10x5__ptq_no,pgd,0.9753639417693168,0.9912,0.6651506537805572,0.8822,-31.80487556532289,-10.996771589991928,0.3952539999736473,782.8191493115759
most_balanced_ptq,no_qat__distill_direct__prune_10x5__ptq_yes,fgsm,0.9304029304029304,0.9734,0.7125683060109289,0.8948,-23.41293403898284,-8.07478939798644,0.057125600054860115,100.0
most_balanced_ptq,no_qat__distill_direct__prune_10x5__ptq_yes,fgi,0.9304029304029304,0.9734,0.7125683060109289,0.8948,-23.41293403898284,-8.07478939798644,0.12289999995846301,215.13997199230639
most_balanced_ptq,no_qat__distill_direct__prune_10x5__ptq_yes,ga,0.9304029304029304,0.9734,0.7125683060109289,0.8948,-23.41293403898284,-8.07478939798644,0.11571189993992448,202.55699691347044
most_balanced_ptq,no_qat__distill_direct__prune_10x5__ptq_yes,pgd,0.9304029304029304,0.9734,0.738095238095238,0.9032,-20.66929133858269,-7.211834805835221,0.45813549996819347,801.9793219296196
most_balanced_no_ptq,yes_qat__distill_none__prune_10x5__ptq_no,fgsm,0.8353601496725912,0.9296,0.8353601496725912,0.9296,0.0,0.0,0.06804809998720884,100.0
most_balanced_no_ptq,yes_qat__distill_none__prune_10x5__ptq_no,fgi,0.8353601496725912,0.9296,0.8353601496725912,0.9296,0.0,0.0,0.13946129998657852,204.94517850284342
most_balanced_no_ptq,yes_qat__distill_none__prune_10x5__ptq_no,ga,0.8353601496725912,0.9296,0.8353601496725912,0.9296,0.0,0.0,0.1173003000440076,172.37850882839757
most_balanced_no_ptq,yes_qat__distill_none__prune_10x5__ptq_no,pgd,0.8353601496725912,0.9296,0.8314606741573033,0.928,-0.46680171621979566,-0.17211703958691207,0.5359843000769615,787.6550560231832
