tag,fl_qat,distillation,pruning,ptq,fl_acc,fl_f1,fl_prec,fl_rec,fl_size_kb,dist_acc,dist_f1,prune_acc,prune_f1,final_acc,final_f1,final_prec,final_rec,tflite_size_kb,final_size_kb
no_qat__distill_direct__prune_10x5__ptq_no,False,direct,prune_10x5,False,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,0.9668735286229401,0.9134711748966189,0.9891006347408886,0.9697126531964227,0.9891006347408886,0.9697126531964227,,,102.3046875,374.4921875
no_qat__distill_direct__prune_10x2__ptq_no,False,direct,prune_10x2,False,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,0.9604292696009774,0.8978901331282741,0.9857853800995321,0.9597977243994943,0.9857853800995321,0.9597977243994943,,,170.91796875,585.8671875
yes_qat__distill_direct__prune_5x10__ptq_no,True,direct,prune_5x10,False,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.8468538605954048,0.3289316901983188,0.9768081175313645,0.9372783687943262,0.9768081175313645,0.9372783687943262,,,101.328125,371.765625
no_qat__distill_direct__prune_none__ptq_no,False,direct,prune_none,False,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,0.9757353160294424,0.9350328127181696,,,0.9757353160294424,0.9350328127181696,,,242.43359375,283.1015625
no_qat__distill_direct__prune_5x10__ptq_yes,False,direct,prune_5x10,True,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,0.9878229579521411,0.9655223329641934,0.9827085257919361,0.9527320123006741,0.9740702386983342,0.9300015083714616,0.8853871486558934,0.9793506576021348,31.1015625,371.765625
no_qat__distill_direct__prune_5x10__ptq_no,False,direct,prune_5x10,False,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,0.9753814405340168,0.93386304276036,0.9741335637869893,0.9274853801169591,0.9741335637869893,0.9274853801169591,,,101.30859375,371.765625
no_qat__distill_direct__prune_10x2__ptq_yes,False,direct,prune_10x2,True,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,0.9623513722919212,0.90249008692632,0.993384390738147,0.9811508989407994,0.9722151861012606,0.9250916394677379,0.8796745483020741,0.9754537560624351,50.0703125,585.8671875
yes_qat__distill_direct__prune_10x2__ptq_no,True,direct,prune_10x2,False,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.8468687606162648,0.3282952892926586,0.9649477009267813,0.9085519922254617,0.9649477009267813,0.9085519922254617,,,170.9375,585.8671875
no_qat__distill_direct__prune_none__ptq_yes,False,direct,prune_none,True,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,0.9620757219060107,0.9015900633125514,,,0.948494352892094,0.8706269824190425,0.7798357358364063,0.9853442616006947,69.2578125,283.1015625
yes_qat__distill_direct__prune_5x10__ptq_yes,True,direct,prune_5x10,True,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.846473910063474,0.3262990993347173,0.976003516404923,0.9355606682004601,0.9461513246118545,0.8430026716479506,0.8651389848643588,0.8219709003113286,31.1171875,371.765625
no_qat__distill_direct__prune_10x5__ptq_yes,False,direct,prune_10x5,True,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,0.9589131924784695,0.8947639583253826,0.9728186369460917,0.9270788571656989,0.9435624459874243,0.8299799131439857,0.8826856979186557,0.7832136730414893,31.34375,374.3828125
yes_qat__distill_direct__prune_10x5__ptq_no,True,direct,prune_10x5,False,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.8464105849748189,0.3229556650246306,0.9437263462168847,0.8171043232968923,0.9437263462168847,0.8171043232968923,,,102.34765625,374.3515625
yes_qat__distill_direct__prune_10x2__ptq_yes,True,direct,prune_10x2,True,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.8461461096045535,0.3202383107585458,0.9912611377655929,0.9755584264044007,0.9381425633995888,0.7896483583299554,0.9824124562675324,0.6601224135374971,50.09375,585.8671875
yes_qat__distill_direct__prune_10x5__ptq_yes,True,direct,prune_10x5,True,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.8467719104806747,0.32782652744415575,0.9768379175730846,0.9338440259602085,0.9082382215335102,0.647218880678238,0.9993808323382425,0.4785776309380096,31.40625,374.3515625
yes_qat__distill_direct__prune_none__ptq_no,True,direct,prune_none,False,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.8472263611169055,0.3299733707993661,,,0.8472263611169055,0.3299733707993661,,,242.453125,283.1015625
yes_qat__distill_direct__prune_none__ptq_yes,True,direct,prune_none,True,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.8463062848287988,0.32453670355575925,,,0.8518677176148046,0.27356922346236046,0.9949508370980601,0.15858694961560454,69.2734375,283.1015625
no_qat__distill_none__prune_5x10__ptq_no,False,none,prune_5x10,False,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,,,0.9828910510474714,0.9527260001852671,0.9828910510474714,0.9527260001852671,,,317.72265625,1029.34375
